ds,x
2014-12-30,4.5
2015-01-03,63.3
2015-01-04,118.5
2015-01-05,38.9
2015-01-06,184.5
2015-01-07,296.94
2015-01-08,295.96
2015-01-09,316.06
2015-01-10,5.5
2015-01-11,100.5
2015-01-12,46.88
2015-01-13,116.16
2015-01-14,262.74
2015-01-15,494.54
2015-01-16,351.74
2015-01-17,204.7
2015-01-18,158.84
2015-01-19,356.4
2015-01-20,326.18
2015-01-21,326.56
2015-01-22,364.34
2015-01-23,408.82
2015-01-24,497
2015-01-25,428.7
2015-01-26,678.66
2015-01-27,563.22
2015-01-28,1120.86
2015-01-29,1419.54
2015-01-30,687.7
2015-01-31,581.6
2015-02-01,915
2015-02-02,384.58
2015-02-03,720.7
2015-02-04,424.14
2015-02-05,640.8
2015-02-06,584.78
2015-02-07,397.32
2015-02-08,650.6
2015-02-09,934.54
2015-02-10,806.16
2015-02-11,743.5
2015-02-12,853.66
2015-02-13,891.38
2015-02-14,1372.84
2015-02-15,1650.44
2015-02-16,131.1
2015-02-23,75.3
2015-02-24,53.1
2015-02-25,518.16
2015-02-26,327.06
2015-02-27,683.9
2015-02-28,395.8
2015-03-01,343.8
2015-03-02,695.48
2015-03-03,485.8
2015-03-04,928.6
2015-03-05,796.8
2015-03-06,365.2
2015-03-07,389.8
2015-03-08,857
2015-03-09,880
2015-03-10,602.2
2015-03-11,657
2015-03-12,1230
2015-03-13,1034.6
2015-03-14,1155.3
2015-03-15,724.1
2015-03-16,746.3
2015-03-17,1007
2015-03-18,1054.4
2015-03-19,1408.8
2015-03-20,982.1
2015-03-21,674.6
2015-03-22,834.5
2015-03-23,1335.7
2015-03-24,925.4
2015-03-25,1259.5
2015-03-26,1114.2
2015-03-27,1172.6
2015-03-28,521.1
2015-03-29,760
2015-03-30,874.2
2015-03-31,1283.7
2015-04-01,1015
2015-04-02,1461
2015-04-03,375.9
2015-04-04,570.4
2015-04-05,716
2015-04-06,854.8
2015-04-07,1248.8
2015-04-08,1176.3
2015-04-09,1070.4
2015-04-10,1173.2
2015-04-11,109.7
2015-04-12,744.2
2015-04-13,1172.9
2015-04-14,1447.5
2015-04-15,1424
2015-04-16,1674.6
2015-04-17,1360.1
2015-04-18,1182
2015-04-19,1372.3
2015-04-20,1975.9
2015-04-21,1715.35
2015-04-22,1662.7
2015-04-23,1405.1
2015-04-24,2385.5
2015-04-25,1278.4
2015-04-26,1247.3
2015-04-27,600.1
2015-04-28,1276.6
2015-04-29,1456.7
2015-04-30,1544.6
2015-05-01,1151.6
2015-05-02,1355
2015-05-03,1266.1
2015-05-04,1562.6
2015-05-05,1102.2
2015-05-06,1118.9
2015-05-07,1686.7
2015-05-08,1857.1
2015-05-09,1088.6
2015-05-10,1100.5
2015-05-11,1518.7
2015-05-12,1738.85
2015-05-13,1650.2
2015-05-14,1418.85
2015-05-15,2206.9
2015-05-16,1398.15
2015-05-17,1423.35
2015-05-18,1665.25
2015-05-19,1435.5
2015-05-20,1229.3
2015-05-21,1584.6
2015-05-22,1641.4
2015-05-23,2405.6
2015-05-24,730.2
2015-05-25,652.1
2015-05-26,688.32
2015-05-27,1547.1
2015-05-28,1483.48
2015-05-29,1769.04
2015-05-30,1063
2015-05-31,1167.92
2015-06-01,1677.61
2015-06-02,2116.57
2015-06-03,1670.46
2015-06-04,1686.44
2015-06-05,1407.67
2015-06-06,1145.98
2015-06-07,1048.09
2015-06-08,1504.43
2015-06-09,1508.34
2015-06-10,1286.2
2015-06-11,1510.3
2015-06-12,1593.04
2015-06-13,1066.3
2015-06-14,1078.72
2015-06-15,2011.18
2015-06-16,1770.46
2015-06-17,1433.18
2015-06-18,953.74
2015-06-19,1338.06
2015-06-20,829.94
2015-06-21,830.62
2015-06-22,749.64
2015-06-23,1356.12
2015-06-24,1311.24
2015-06-25,1170.18
2015-06-26,2042.34
2015-06-27,2520.78
2015-06-28,1515.76
2015-06-29,2098.96
2015-06-30,1785.46
